id,name,author,genre,seria,rating,count_page,language,content,img_url
37,Возлюби ближнего своего ,Ремарк Эрих Мария,Зарубежная классика Классическая литература,Книга на все времена,9.65,21,Русский,,https://www.litmir.me/data/Book/0/205000/205683/BC4_1594925952.jpg
38,Профессиональный некромант. Мэтр на охоте,Лисина Александра,Фэнтези,Профессиональный некромант #4,9.65,7,Русский," Светлому студенту Академии всеобщей магии, а по совместительству — некроманту, который, как считают, погиб еще пятьдесят лет назад, не до скуки. Столько дел, что голова кругом. Тайный заговор раскрой, с наемными убийцами договорись, новые знания по светлой магии освой… И пусть на вид ты всего лишь рыжий мальчишка-первокурсник — не беда. Чем меньше подозрений вызывает образ, тем больше шансов на успех.",https://www.litmir.me/data/Book/0/566000/566507/BC4_1592908388.jpg
39,Делатель королей (Коронатор),Вилар Симона,Историческая литература Исторические любовные романы,Анна Невиль #2,9.65,23,Русский,,https://www.litmir.me/data/Book/0/112000/112747/BC4_1490565734.jpg
40,Оскар и Розовая дама,Шмитт Эрик-Эмманюэль,Современная проза,,9.65,9,Русский,,https://www.litmir.me/data/Book/0/26000/26915/BC4_1490522686.jpg
41,Золотые костры,Пехов Алексей Юрьевич,Фэнтези,Страж #3,9.65,26,Русский,"Суровую зиму предвещают ледяные ветра с гор. Она придет с метелью и холодом, скрывая в снежной круговерти смерть. Где-то там, за вьюгой, мимо уснувших лесов, опустевших полей и заброшенных погостов, идет по ночным трактам темный кузнец. Никто не знает, кто он, как выглядит и чего хочет. Людвиг ван Нормайенн со спутниками Проповедником и Пугалом спешат по его остывающему следу.",https://www.litmir.me/data/Book/0/148000/148877/BC4_1595925311.jpg
42,Буря мечей,Мартин Джордж Р.Р.,Зарубежное фэнтези,Песнь Льда и Огня #3,9.65,64,Русский," Перед вами – третья летопись цикла «Песнь льда и огня». Эпическая, чеканная сага о мире Семи Королевств. О мире суровых земель вечного холода и радостных земель вечного лета. Мире лордов и героев, воинов и магов, чернокнижников и убийц – всех, кого свела воедино Судьба во исполнение древнего пророчества. О мире опасных приключений, великих деяний и тончайших политических интриг.  Сотрясается в борьбе Железный Трон Семи Королевств. Предают друг друга недавние союзники, злейшими врагами становятся добрые друзья.  В неприступном замке плетет сети изощренного заговора могущественная чернокнижница…  В далеких, холодных землях собирает силы юный властитель Севера Робб от Дома Старк…  Новые и новые воины сходятся под знаменами Даэнерис Бурерожденной, правящей последними из оставшихся в мире драконов…  Но ныне в разгорающийся пожар сражений вступают еще и Иные – армия живых мертвецов, коих не остановить ни властью оружия, ни властью магии.  БУРЯ МЕЧЕЙ грядет в Семи Королевствах – и многие падут в этой буре…",https://www.litmir.me/data/Book/0/172000/172357/BC4_1595544913.jpg
43,"Второе правило волшебника, или Камень Слёз",Гудкайнд Терри,Фэнтези Зарубежное фэнтези,Меч Истины #2,9.65,58,Русский," Бесстрашный Ричард Сайфер, Искатель Истины, силою магии победил грозного Даркена Рала, но, сам того не ведая, нарушил Второе Правило Волшебника. Порвалась завеса между мирами, и силы зла вырвались на свободу. Потоками льется кровь, самое темное и страшное пробуждается в людях. Предательства, измены, убийства, войны… Еще немного – и вырвется на свободу Владетель Подземного мира, и тогда никто не избегнет страшной участи. Лишь Ричард способен восстановить завесу и спасти мир. Но готов ли он, пусть даже во спасение мира, принести в жертву жизнь своей возлюбленной?",https://www.litmir.me/data/Book/0/0/44/BC4_1550768575.jpg
44,Темная Башня,Кинг Стивен,Фэнтези Зарубежное фэнтези,Темная Башня #7,9.65,49,Русский,,https://www.litmir.me/data/Book/0/258000/258056/BC4_1593916391.jpg
45,Принц Хаоса,Желязны Роджер Джозеф,Фэнтези,Хроники Амбера #10,9.64,46,Русский,"Принц Мерлин — герой-рассказчик второго пятикнижия хроник Амбера — юн, интеллигентен, предпочитает компьютер двуручному мечу и автомобиль — лошади. Но он обречен. Карты розданы, игра — в разгаре, а Мерлин — в каре. Процессор заклятий ему вручает дядюшка по одной линии, базу данных в бесконечных отражениях — другой, невесту ему мастерит прадед, а матушка со старшим братом дарят такое, что несчастный принц готов сбежать в глухую Тень. А затем — найденное сокровище, последняя битва, и выиграет ее — не волшебное кольцо и не серебряный меч.",https://www.litmir.me/data/Book/0/152000/152272/BC4_1491156740.jpg
46,Перси Джексон и последнее пророчество,Риордан Рик,Фэнтези Зарубежное фэнтези,Перси Джексон и боги-олимпийцы #5,9.64,17,Русский,,https://www.litmir.me/data/Book/0/142000/142584/BC4_1596028752.jpg
47,Гордость и предубеждение,Остин Джейн,Классика жанра Классическая литература,,9.64,23,Русский," По соседству с бедной, но уважаемой семьей Беннет поселился богатый и загадочный мистер Дарси. Одной из пяти дочерей миссис Беннет удалось покорить сердце молодого аристократа. Но энергичная красавица Элизабет Беннет его отвергла. Он показался ей слишком надменным и самодовольным. Да и слишком большой казалась разница в их общественном положении, а злобные сплетни окружающих довершили дело. Лишь постепенно Элизабет и мистер Дарси, преодолевая гордость и предубеждения, лучше узнают друг друга, и их соединит настоящая любовь, которой подвластны любые преграды…",https://www.litmir.me/data/Book/0/0/262/BC4_1598431753.jpg
