id,name,site_buy,date,town,price,age,img_url,content,id_cultural
583,Библионочь в педагогическом университете,0,20 апреля 2018,Москва,0,6+,https://www.2do2go.ru/uploads/366c776b9f760318dd0c020e4935b108_w500_h500.jpg,"Приглашаются студенты и преподаватели.  В программе вечера: выступление камерного оркестра МПГУ , мастер-класс по изготовлению книжной закладки от преподавателей Института изящных искусств, игротека от клуба любителей чтения «Геотека», мистический кинопоказ, загадки из старинных книг от участников проекта «Знакомим с историей книги».  Самое интересное – экскурсия в книгохранилище и библиоквест по художественным произведениям о магах и волшебниках. Участников ждут сувениры, а победителей – призы.  Приходите обязательно – будет необычно!",0
584,Семинар Рейки Дао Дэ Ки,0,6 декабря 2014,Москва,0,12+,https://www.2do2go.ru/uploads/792ffc6ad04add6106593352aa03014a_w500_h500.jpg,0,0
585,Ритмы Вселенной,http://white-clouds.ru/poster/kontsert-andreya-tanzyu-ritmy-vselennoj/?instance_id=&amp;utm_source=seti&amp;utm_medium=seti_&amp;utm_campaign=tanzyu_ritmy,1 декабря 2018,Москва,650 — 800,12+,https://www.2do2go.ru/uploads/39f58ca2f3ce39eccf504392d8df831d_w500_h500.jpg," Андрей Танзю более 15 лет занимается продвижением рамочных барабанов в России. Будучи одним из самых востребованных перкуссионистов Москвы, он регулярно выступает в различных музыкальных проектах, участвует в российских и международных фестивалях, дает мастер-классы. На фоне постоянной занятости музыканта, сольный концерт Андрея Танзю – событие редкое и достойное внимания. Красота звучания этнических барабанов в умелых руках мастера в это время раскрывается наиболее ярко. Обладатель богатой коллекции перкуссионных инструментов, во время концерта Андрей расскажет о рамочных барабанах восточного мира и покажет, какими голосами они обладают. Также в концерте участвуют приглашенные гости-музыканты, будет исполнено несколько танцевальных номеров в стиле tribal fusion.  <blockquote><i>Нечасто играю сольно, во-первых, потому, что это требует огромных физических усилий, да и жанр сольной перкуссии в наших краях не все понимают, возникают вопросы: «А где музыка?» Но! Это отдельный широкий музыкальный пласт во всем мире, глоток чистого транса! Итак, два часа ритмического массажа, орнаменты и инструменты разных традиций, от шейкера до ханг драма. Будет много теплого общения и совместная импровизация, готовьтесь.</i></blockquote> – Андрей Танзю.<br /> ",0
586,Концерт Гульфама Сабри,0,1 июня 2018,Москва,550 — 700,16+,https://www.2do2go.ru/uploads/000b1f8252050fd83cb347c27be62168_w500_h500.jpg,"Вечер классической индийской музыки в исполнении потомственного певца и инструменталиста из Индии Гульфама Сабри.  В семье Гульфама любовь к музыке, а также суфийская духовная традиция беспрерывно передаются уже семь поколений. Технике вокала кхаял он обучался у своего отца Устада Сабри Хана, легендарного мастера саранги и лауреата государственной премии Индии Падма Бхушан. Гульфам Сабри не только обладатель яркого и выразительного вокального дара, но и виртуоз игры на табла – классической индийской перкуссии, уже с 14 лет он выступал на одной сцене со своим отцом, аккомпанируя ему на этом инструменте. С восемнадцати лет он дает концерты по всему миру, среди наиболее знаковых – фестиваль BBC Live Fest в в Symphony hall Бирмингема, а в 2005 году в музыкант удостоился чести вступить перед королем Афганистана Мухаммеда Захир-шаха, вернувшегося на родину после падения режима талибов. Организаторы ждут вас вас на концертах Гульфама Сабри, где он исполнит медитативные раги традиции Хиндустани, а также газели – вокальные композиции на основе изящной мистической поэзии суфийских мыслителей. Узнать подробности вы можете на . ",0
587,Семинар-практикум «Орфическое искусство»,http://cultmaga.ru/shop/poster/orphey/,16 марта 2018,Москва,от 1500,16+,https://www.2do2go.ru/uploads/581a82d9bb5403b434ba4dac940f54c2_w500_h500.jpg,"Все виды искусства существуют для того, чтобы помогать человеку на пути самосовершенствования. Произведения искусства – резонаторы, которые помогают подключаться к разнообразным информационно-энергетическим потокам.  При помощи искусства художник, музыкант, поэт или актер может управлять своим состоянием и психикой окружающих. А также передавать будущим поколениям послание, где в символической форме зашифровано знание. Семинар состоит из теоретической и практической частей.  Теоретическая часть: Практическая часть посвящена овладению объективным искусством через понимание орфических законов. <br />",0
588,Знакомство с «Дизайном человека»,0,18 ноября 2017,Москва,0,0+,https://www.2do2go.ru/uploads/5fd6f1a92ebf250bebba9106992b90c1_w500_h500.jpg,"Одна из главных мыслей, которую доносит «Дизайн человека» — время внешних авторитетов прошло. Эта система позволяет учитывать индивидуальные особенность каждого человека и учит познавать свою истинную природу. Это очень четкая и логически выстроенная система, которая объясняет механику твоего тела. Тут нет никаких хитростей, не нужно ничего воспринимать на веру, не нужно ссылаться на высшие силы. Любой человек может составить свою карту (бодиграф) и увидеть, как работает его тело.  Вам стоит сходить на эту лекцию, если вы ищете ответы на следующие вопросы: Регистрация и подробности — на .",0
589,Традиционные рождественские гадания,0,7 января 2017,Москва,1500 — 3000,16+,https://www.2do2go.ru/uploads/5b02c697b77620c7640ca8d736c4445d_w500_h500.jpg,"Рождественский  вечер — удивительный, таинственный  и немного волшебный, когда каждый из нас хочет заглянуть в будущее, и, безусловно, ждет от него только хорошего. Это уникальное, особенное время для того,  чтобы «сверить часы» со своей судьбой, запрограммировать себя на позитивные изменения в жизни, ведь психологический смысл гадания состоит именно в настройке психики на формирование позитивного образа будущего, и, конечно же, погружение в ресурсное детское состояние  волшебства, предвкушения и стремления к тайне, о котором мы часто забываем в суете и спешке  повседневной жизни. Завершит вечер ритуал с рождественскими  свечами на исполнение желаний. Традиционные костюмы приветствуются. Ведущая: Ольга Беспахотная — психолог, травмотерапевт, процессуальный психотерапевт, ведущая тренингов, терапевтических групп. Подробности – .",0
590,Мастер-классы в «Школе веселого волшебства»,0,1 апреля 2016,Москва,750 — 3500,6+,https://www.2do2go.ru/uploads/716e82020a91e314de8b5343cf278a01_w500_h500.jpg,0,0
591,Клубная встреча «О кофе с любовью»,0,19 сентября 2015,Москва,от 500,18+,https://www.2do2go.ru/uploads/c98f7f26e74b7c0e06ce51b4083300da_w500_h500.jpg,0,0
592,Мастер-класс по браслетам ручной работы,0,5 сентября 2015,Москва,от 1000,6+,https://www.2do2go.ru/uploads/55b3b4270399576fa1d6202cb816dbb3_w500_h500.jpg,0,0
